id,label,comment,ancestors,supertypes,subtypes,properties
MusicVenue,Music Venue,A music venue.,Thing Place CivicStructure,CivicStructure,,
VideoObject,Video Object,A video file.,Thing CreativeWork MediaObject,MediaObject,,caption thumbnail
Duration,Duration,"Quantity: Duration (use  <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>).",Thing Intangible Quantity,Quantity,,
WPHeader,WP Header,The header section of the page.,Thing CreativeWork WebPageElement,WebPageElement,,
RVPark,RV Park,An RV park.,Thing Place CivicStructure,CivicStructure,,
MusicVideoObject,Music Video Object,A music video file.,Thing CreativeWork MediaObject,MediaObject,,
MovieRentalStore,Movie Rental Store,A movie rental store.,Thing Organization LocalBusiness Store,Store,,
SkiResort,Ski Resort,A ski resort.,Thing Organization LocalBusiness SportsActivityLocation,SportsActivityLocation,,
OceanBodyOfWater,Ocean Body of Water,"An ocean (for example, the Pacific).",Thing Place Landform BodyOfWater,BodyOfWater,,
TattooParlor,Tattoo Parlor,A tattoo parlor.,Thing Organization LocalBusiness HealthAndBeautyBusiness,HealthAndBeautyBusiness,,
ItemAvailability,Item Availability,A list of possible product availablity options.,Thing Intangible Enumeration,Enumeration,,
EntertainmentBusiness,Entertainment Business,A business providing entertainment.,Thing Organization LocalBusiness,LocalBusiness,AdultEntertainment AmusementPark ArtGallery Casino ComedyClub MovieTheater NightClub,
EducationalOrganization,Educational Organization,An educational organization.,Thing Organization,Organization,CollegeOrUniversity ElementarySchool HighSchool MiddleSchool Preschool School,alumni
AutomatedTeller,Automated Teller,ATM/cash machine.,Thing Organization LocalBusiness FinancialService,FinancialService,,
Offer,Offer,"An offer to sell an item—for example, an offer to sell a product, the DVD of a movie, or tickets to an event.",Thing Intangible,Intangible,AggregateOffer,aggregateRating availability itemCondition itemOffered price priceCurrency priceValidUntil reviews seller
OfferItemCondition,Offer Item Condition,A list of possible conditions for the item for sale.,Thing Intangible Enumeration,Enumeration,,
ConvenienceStore,Convenience Store,A convenience store.,Thing Organization LocalBusiness Store,Store,,
AboutPage,About Page,Web page type: About page.,Thing CreativeWork WebPage,WebPage,,
WPFooter,WP Footer,The footer section of the page.,Thing CreativeWork WebPageElement,WebPageElement,,
ImageObject,Image Object,An image file.,Thing CreativeWork MediaObject,MediaObject,,caption exifData representativeOfPage thumbnail
SelfStorage,Self Storage,Self-storage facility.,Thing Organization LocalBusiness,LocalBusiness,,
AutomotiveBusiness,Automotive Business,"Car repair, sales, or parts.",Thing Organization LocalBusiness,LocalBusiness,AutoBodyShop AutoDealer AutoPartsStore AutoRental AutoRepair AutoWash GasStation MotorcycleDealer MotorcycleRepair,
PoliceStation,Police Station,A police station.,Thing Place CivicStructure,CivicStructure EmergencyService,,
PostOffice,Post Office,A post office.,Thing Organization LocalBusiness GovernmentOffice,GovernmentOffice,,
Aquarium,Aquarium,Aquarium.,Thing Place CivicStructure,CivicStructure,,
UserDownloads,User Downloads,User interaction: Download of an item.,Thing Event UserInteraction,UserInteraction,,
MotorcycleRepair,Motorcycle Repair,A motorcycle repair shop.,Thing Organization LocalBusiness AutomotiveBusiness,AutomotiveBusiness,,
GeoCoordinates,Geo Coordinates,The geographic coordinates of a place or event.,Thing Intangible StructuredValue,StructuredValue,,elevation latitude longitude
AudioObject,Audio Object,An audio file.,Thing CreativeWork MediaObject,MediaObject,,
Physician,Physician,A doctor's office.,Thing Organization LocalBusiness MedicalOrganization,MedicalOrganization,,
SearchResultsPage,Search Results Page,Web page type: Search results page.,Thing CreativeWork WebPage,WebPage,,
ComputerStore,Computer Store,A computer store.,Thing Organization LocalBusiness Store,Store,,
Restaurant,Restaurant,A restaurant.,Thing Organization LocalBusiness FoodEstablishment,FoodEstablishment,,
WebPage,Web Page,"A web page. Every web page is implicitly assumed to be declared to be of type WebPage, so the various properties about that webpage, such as <code>breadcrumb</code> may be used. We recommend explicit declaration if these properties are specified, but if they are found outside of an itemscope, they will be assumed to be about the page",Thing CreativeWork,CreativeWork,AboutPage CheckoutPage CollectionPage ContactPage ItemPage ProfilePage SearchResultsPage,breadcrumb isPartOf mainContentOfPage primaryImageOfPage significantLinks
ProfilePage,Profile Page,Web page type: Profile page.,Thing CreativeWork WebPage,WebPage,,
MusicPlaylist,Music Playlist,A collection of music tracks in playlist form.,Thing CreativeWork,CreativeWork,MusicAlbum,numTracks tracks
BeautySalon,Beauty Salon,Beauty salon.,Thing Organization LocalBusiness HealthAndBeautyBusiness,HealthAndBeautyBusiness,,
MusicStore,Music Store,A music store.,Thing Organization LocalBusiness Store,Store,,
Crematorium,Crematorium,A crematorium.,Thing Place CivicStructure,CivicStructure,,
